Pincode,MMI State,latitude,longitude
744301,Andaman & Nicobar Islands,9.16874,92.7671
744302,Andaman & Nicobar Islands,7.06203,93.7929
744303,Andaman & Nicobar Islands,8.16786,93.4007
744304,Andaman & Nicobar Islands,7.94067,93.3859
744202,Andaman & Nicobar Islands,13.2378,92.9365
744204,Andaman & Nicobar Islands,12.7999,92.8026
744201,Andaman & Nicobar Islands,12.7079,92.9226
744210,Andaman & Nicobar Islands,12.0488,92.7133
744205,Andaman & Nicobar Islands,12.5814,92.8348
744209,Andaman & Nicobar Islands,12.3838,92.8102
744203,Andaman & Nicobar Islands,12.396,92.9363
744206,Andaman & Nicobar Islands,11.6308,92.6673
744103,Andaman & Nicobar Islands,11.7889,92.5684
744105,Andaman & Nicobar Islands,11.4705,92.6698
744107,Andaman & Nicobar Islands,11.8237,92.746
744207,Andaman & Nicobar Islands,10.7022,92.4874
744211,Andaman & Nicobar Islands,12.0778,93.0475
744104,Andaman & Nicobar Islands,11.8288,93.0462
533428,Andhra Pradesh,17.4906,82.0395
533483,Andhra Pradesh,17.7286,81.9517
533429,Andhra Pradesh,17.313,82.0963
535145,Andhra Pradesh,18.2246,83.1127
531030,Andhra Pradesh,18.069,82.9563
535273,Andhra Pradesh,18.3304,83.2182
531149,Andhra Pradesh,18.306,82.94
531151,Andhra Pradesh,18.3039,82.7925
531118,Andhra Pradesh,17.7671,82.5775
531111,Andhra Pradesh,17.9405,82.3903
531084,Andhra Pradesh,17.7009,82.3987
533352,Andhra Pradesh,17.7521,81.0466
533347,Andhra Pradesh,17.7764,81.5588
533349,Andhra Pradesh,17.6044,81.2688
533339,Andhra Pradesh,17.3459,81.6912
533286,Andhra Pradesh,17.2483,81.7835
533295,Andhra Pradesh,17.6315,81.6911
533288,Andhra Pradesh,17.4328,81.785
533287,Andhra Pradesh,17.1822,81.7101
531029,Andhra Pradesh,17.998,82.5575
533284,Andhra Pradesh,17.3715,81.9158
533285,Andhra Pradesh,17.289,81.9166
533435,Andhra Pradesh,17.1775,82.0237
531105,Andhra Pradesh,17.9873,82.0684
531133,Andhra Pradesh,17.8948,82.2202
531077,Andhra Pradesh,18.1374,82.7776
531115,Andhra Pradesh,17.5559,82.4559
531087,Andhra Pradesh,17.7416,82.1135
533350,Andhra Pradesh,17.6752,81.2143
534444,Andhra Pradesh,17.5697,81.0371
531040,Andhra Pradesh,18.2841,82.4857
531024,Andhra Pradesh,18.0349,82.7284
531027,Andhra Pradesh,17.8887,82.7619
533436,Andhra Pradesh,17.5045,82.208
533348,Andhra Pradesh,17.9286,81.8553
507130,Andhra Pradesh,17.7209,81.8581
533351,Andhra Pradesh,17.6576,81.086
531032,Andhra Pradesh,17.7235,82.9506
531002,Andhra Pradesh,17.6922,83.0264
531019,Andhra Pradesh,17.6737,83.0651
531031,Andhra Pradesh,17.6468,82.8598
531033,Andhra Pradesh,17.6035,82.9731
531011,Andhra Pradesh,17.5276,82.9868
531020,Andhra Pradesh,17.5683,83.0652
531026,Andhra Pradesh,17.8149,82.846
531036,Andhra Pradesh,17.8072,82.8963
531025,Andhra Pradesh,17.7549,82.7948
531028,Andhra Pradesh,17.8986,82.862
531022,Andhra Pradesh,17.9215,83.0689
