City_PK,State,City_Village,latitude,longitude
Car Nicobar|Andaman & Nicobar Islands,Andaman & Nicobar Islands,Car Nicobar,9.187057,92.77301361
Malacca|Andaman & Nicobar Islands,Andaman & Nicobar Islands,Malacca,9.1745907,92.8256179
Kamorta|Andaman & Nicobar Islands,Andaman & Nicobar Islands,Kamorta,8.0384614,93.5440671
Tarasa Island|Andaman & Nicobar Islands,Andaman & Nicobar Islands,Tarasa Island,8.27412725,93.10644553
Mayabunder|Andaman & Nicobar Islands,Andaman & Nicobar Islands,Mayabunder,12.7701746,92.83131186
Bakultala|Andaman & Nicobar Islands,Andaman & Nicobar Islands,Bakultala,12.504344,92.861272
Rangat|Andaman & Nicobar Islands,Andaman & Nicobar Islands,Rangat,12.49362455,92.82562557
Bambooflat|Andaman & Nicobar Islands,Andaman & Nicobar Islands,Bambooflat,11.7126318,92.7163855
Hut Bay|Andaman & Nicobar Islands,Andaman & Nicobar Islands,Hut Bay,10.5869846,92.5627746
Garacharma|Andaman & Nicobar Islands,Andaman & Nicobar Islands,Garacharma,11.61287,92.70487
Port Blair|Andaman & Nicobar Islands,Andaman & Nicobar Islands,Port Blair,11.6645348,92.7390448
Prothrapur|Andaman & Nicobar Islands,Andaman & Nicobar Islands,Prothrapur,11.6186079,92.7269756
Araku|Andhra Pradesh,Andhra Pradesh,Araku,18.3329216,82.8652583
Kantabamsuguda|Andhra Pradesh,Andhra Pradesh,Kantabamsuguda,18.3225509,82.8817761
Chintapalle|Andhra Pradesh,Andhra Pradesh,Chintapalle,17.9195753,82.37996202
Upper Sileru Project Site Camp|Andhra Pradesh,Andhra Pradesh,Upper Sileru Project Site Camp,18.0584877,82.0325401
Gudivada Visakhapatnam|Andhra Pradesh,Andhra Pradesh,Gudivada Visakhapatnam,17.6868159,83.2184815
Paderu|Andhra Pradesh,Andhra Pradesh,Paderu,18.0453386,82.74763088
Rampachodavaram|Andhra Pradesh,Andhra Pradesh,Rampachodavaram,17.4116275,81.81727737
Anakapalle|Andhra Pradesh,Andhra Pradesh,Anakapalle,17.68897,83.003476
Bowluvada|Andhra Pradesh,Andhra Pradesh,Bowluvada,17.7455934,82.9876846
APSEZ Multi Product Special Economic Zone|Andhra Pradesh,Andhra Pradesh,APSEZ Multi Product Special Economic Zone,17.6896435,83.0023634
Atchutapuram APSEZ|Andhra Pradesh,Andhra Pradesh,Atchutapuram APSEZ,17.5346977,82.9880274
Chodavaram|Andhra Pradesh,Andhra Pradesh,Chodavaram,17.8181976,82.97176209
Golugonda|Andhra Pradesh,Andhra Pradesh,Golugonda,17.67489635,82.47006438
Nakkapalle|Andhra Pradesh,Andhra Pradesh,Nakkapalle,17.39727865,82.65742859
Narsipatnam|Andhra Pradesh,Andhra Pradesh,Narsipatnam,17.64070945,82.61598715
Peda Boddepalle|Andhra Pradesh,Andhra Pradesh,Peda Boddepalle,17.6627798,82.6307869
Visakhapatnam|Andhra Pradesh,Andhra Pradesh,Visakhapatnam,17.6630326,83.14415134
Payakaraopeta|Andhra Pradesh,Andhra Pradesh,Payakaraopeta,17.32218765,82.58414559
Yelamanchili|Andhra Pradesh,Andhra Pradesh,Yelamanchili,17.5339769,82.81813504
Ananthapuramu|Andhra Pradesh,Andhra Pradesh,Ananthapuramu,14.0126989,78.41802219
Kakkalapalle|Andhra Pradesh,Andhra Pradesh,Kakkalapalle,14.6431625,77.55621
Kallur|Andhra Pradesh,Andhra Pradesh,Kallur,13.8352485,77.5612254
Gooty|Andhra Pradesh,Andhra Pradesh,Gooty,15.13014175,77.6436594
Guntakal|Andhra Pradesh,Andhra Pradesh,Guntakal,15.11965065,77.45529027
Kalyandurg|Andhra Pradesh,Andhra Pradesh,Kalyandurg,14.54116815,77.21612163
Pamidi|Andhra Pradesh,Andhra Pradesh,Pamidi,14.9699488,77.54554784
Rayadurg|Andhra Pradesh,Andhra Pradesh,Rayadurg,14.7006174,76.8495095
Tadpatri|Andhra Pradesh,Andhra Pradesh,Tadpatri,14.9382599,78.02786888
Uravakonda|Andhra Pradesh,Andhra Pradesh,Uravakonda,14.8722142,77.26206804
Horseley Hills|Andhra Pradesh,Andhra Pradesh,Horseley Hills,13.6507496,78.3970205
Kodur|Andhra Pradesh,Andhra Pradesh,Kodur,13.91861365,79.35253491
Idustrial Area Molakaladinne|Andhra Pradesh,Andhra Pradesh,Idustrial Area Molakaladinne,13.5312692,78.5518889
Madanapalle|Andhra Pradesh,Andhra Pradesh,Madanapalle,13.57325965,78.47914645
Nagireddipalle|Andhra Pradesh,Andhra Pradesh,Nagireddipalle,14.2702515,79.1058257
Mangampeta|Andhra Pradesh,Andhra Pradesh,Mangampeta,14.020477,79.3315011
Pileru|Andhra Pradesh,Andhra Pradesh,Pileru,13.7020601,78.9220736
Rajampet|Andhra Pradesh,Andhra Pradesh,Rajampet,14.200322,79.11028622
Chennamukkapalle|Andhra Pradesh,Andhra Pradesh,Chennamukkapalle,14.0605221,78.7674562
Rayachoti|Andhra Pradesh,Andhra Pradesh,Rayachoti,14.0629248,78.71843326
Bapatla|Andhra Pradesh,Andhra Pradesh,Bapatla,15.9052608,80.4680501
Chirala|Andhra Pradesh,Andhra Pradesh,Chirala,15.8361517,80.3636644
Medarametla|Andhra Pradesh,Andhra Pradesh,Medarametla,15.7249927,80.0162373
Nagaram|Andhra Pradesh,Andhra Pradesh,Nagaram,15.99476825,80.69933617
Repalle|Andhra Pradesh,Andhra Pradesh,Repalle,16.0192816,80.8314567
Vetapalem|Andhra Pradesh,Andhra Pradesh,Vetapalem,15.7748919,80.3273469
Chittoor|Andhra Pradesh,Andhra Pradesh,Chittoor,13.1601048,79.15555062
Mangasamudram|Andhra Pradesh,Andhra Pradesh,Mangasamudram,13.2417669,79.0786281
Murakambattu|Andhra Pradesh,Andhra Pradesh,Murakambattu,13.2461144,79.1173018
Kuppam|Andhra Pradesh,Andhra Pradesh,Kuppam,12.73137835,78.38187451
Ekambarakuppam|Andhra Pradesh,Andhra Pradesh,Ekambarakuppam,13.3165548,79.5667878
Nagari|Andhra Pradesh,Andhra Pradesh,Nagari,13.31217355,79.59793429
Palamaner|Andhra Pradesh,Andhra Pradesh,Palamaner,13.1515975,78.73566699
Punganur|Andhra Pradesh,Andhra Pradesh,Punganur,13.405603,78.55808373
Anaparthy|Andhra Pradesh,Andhra Pradesh,Anaparthy,16.900065,81.97344813
Chagallu|Andhra Pradesh,Andhra Pradesh,Chagallu,16.97200225,81.63922172
Devarapalli|Andhra Pradesh,Andhra Pradesh,Devarapalli,17.0289633,81.5555607
Yernagudem|Andhra Pradesh,Andhra Pradesh,Yernagudem,16.9987695,81.5038348
Gopalapuram|Andhra Pradesh,Andhra Pradesh,Gopalapuram,17.1340648,81.53082657
Dowleswaram|Andhra Pradesh,Andhra Pradesh,Dowleswaram,16.950088,81.785515
Narasapuram|Andhra Pradesh,Andhra Pradesh,Narasapuram,17.1716273,81.8585022
Kovvur|Andhra Pradesh,Andhra Pradesh,Kovvur,17.01796845,81.71012108
Anantapalli|Andhra Pradesh,Andhra Pradesh,Anantapalli,16.9770257,81.4467181
Nallajerla|Andhra Pradesh,Andhra Pradesh,Nallajerla,16.9595238,81.4002131
Nidadavole|Andhra Pradesh,Andhra Pradesh,Nidadavole,16.9065631,81.65423521
Rajahmundry|Andhra Pradesh,Andhra Pradesh,Rajahmundry,17.0050454,81.7804732
Bhimadole|Andhra Pradesh,Andhra Pradesh,Bhimadole,16.7557697,81.29270047
Gundugolanu|Andhra Pradesh,Andhra Pradesh,Gundugolanu,16.7827423,81.2278841
Pulla|Andhra Pradesh,Andhra Pradesh,Pulla,16.8096208,81.3234094
Denduluru|Andhra Pradesh,Andhra Pradesh,Denduluru,16.7813691,81.17082874
Dwaraka Tirumala|Andhra Pradesh,Andhra Pradesh,Dwaraka Tirumala,16.9545281,81.2565686
Eluru|Andhra Pradesh,Andhra Pradesh,Eluru,16.67613485,81.17086824
Sanivarapupeta|Andhra Pradesh,Andhra Pradesh,Sanivarapupeta,16.7214467,81.0990116
