District_PK,District,State
Nicobar|Andaman & Nicobar Islands,Nicobar,Andaman & Nicobar Islands
North And Middle Andaman|Andaman & Nicobar Islands,North And Middle Andaman,Andaman & Nicobar Islands
South Andaman|Andaman & Nicobar Islands,South Andaman,Andaman & Nicobar Islands
Alluri Sitharama Raju|Andhra Pradesh,Alluri Sitharama Raju,Andhra Pradesh
Anakapalli|Andhra Pradesh,Anakapalli,Andhra Pradesh
Ananthapuramu|Andhra Pradesh,Ananthapuramu,Andhra Pradesh
Annamayya|Andhra Pradesh,Annamayya,Andhra Pradesh
Bapatla|Andhra Pradesh,Bapatla,Andhra Pradesh
Chittoor|Andhra Pradesh,Chittoor,Andhra Pradesh
East Godavari|Andhra Pradesh,East Godavari,Andhra Pradesh
Eluru|Andhra Pradesh,Eluru,Andhra Pradesh
Guntur|Andhra Pradesh,Guntur,Andhra Pradesh
Kakinada|Andhra Pradesh,Kakinada,Andhra Pradesh
Konaseema|Andhra Pradesh,Konaseema,Andhra Pradesh
Krishna|Andhra Pradesh,Krishna,Andhra Pradesh
Kurnool|Andhra Pradesh,Kurnool,Andhra Pradesh
Nandyal|Andhra Pradesh,Nandyal,Andhra Pradesh
NTR|Andhra Pradesh,NTR,Andhra Pradesh
Palnadu|Andhra Pradesh,Palnadu,Andhra Pradesh
Parvathipuram Manyam|Andhra Pradesh,Parvathipuram Manyam,Andhra Pradesh
Prakasam|Andhra Pradesh,Prakasam,Andhra Pradesh
Sri Potti Sriramulu Nellore|Andhra Pradesh,Sri Potti Sriramulu Nellore,Andhra Pradesh
Sri Sathyasai|Andhra Pradesh,Sri Sathyasai,Andhra Pradesh
Srikakulam|Andhra Pradesh,Srikakulam,Andhra Pradesh
Tirupati|Andhra Pradesh,Tirupati,Andhra Pradesh
Visakhapatnam|Andhra Pradesh,Visakhapatnam,Andhra Pradesh
Vizianagaram|Andhra Pradesh,Vizianagaram,Andhra Pradesh
West Godavari|Andhra Pradesh,West Godavari,Andhra Pradesh
YSR|Andhra Pradesh,YSR,Andhra Pradesh
Anjaw|Arunachal Pradesh,Anjaw,Arunachal Pradesh
Changlang|Arunachal Pradesh,Changlang,Arunachal Pradesh
Dibang Valley|Arunachal Pradesh,Dibang Valley,Arunachal Pradesh
East Kameng|Arunachal Pradesh,East Kameng,Arunachal Pradesh
East Siang|Arunachal Pradesh,East Siang,Arunachal Pradesh
Kamle|Arunachal Pradesh,Kamle,Arunachal Pradesh
Kra Daadi|Arunachal Pradesh,Kra Daadi,Arunachal Pradesh
