Sub_District_PK,SubDistrict,District,State
Car Nicobar|Nicobar|Andaman & Nicobar Islands,Car Nicobar,Nicobar,Andaman & Nicobar Islands
Great Nicobar|Nicobar|Andaman & Nicobar Islands,Great Nicobar,Nicobar,Andaman & Nicobar Islands
Nancowry|Nicobar|Andaman & Nicobar Islands,Nancowry,Nicobar,Andaman & Nicobar Islands
Diglipur|North And Middle Andaman|Andaman & Nicobar Islands,Diglipur,North And Middle Andaman,Andaman & Nicobar Islands
Mayabunder|North And Middle Andaman|Andaman & Nicobar Islands,Mayabunder,North And Middle Andaman,Andaman & Nicobar Islands
Rangat|North And Middle Andaman|Andaman & Nicobar Islands,Rangat,North And Middle Andaman,Andaman & Nicobar Islands
Ferrargunj|South Andaman|Andaman & Nicobar Islands,Ferrargunj,South Andaman,Andaman & Nicobar Islands
Little Andaman|South Andaman|Andaman & Nicobar Islands,Little Andaman,South Andaman,Andaman & Nicobar Islands
Port Blair|South Andaman|Andaman & Nicobar Islands,Port Blair,South Andaman,Andaman & Nicobar Islands
Addateegala|Alluri Sitharama Raju|Andhra Pradesh,Addateegala,Alluri Sitharama Raju,Andhra Pradesh
Ananthagiri|Alluri Sitharama Raju|Andhra Pradesh,Ananthagiri,Alluri Sitharama Raju,Andhra Pradesh
Araku Valley|Alluri Sitharama Raju|Andhra Pradesh,Araku Valley,Alluri Sitharama Raju,Andhra Pradesh
Chintapalle|Alluri Sitharama Raju|Andhra Pradesh,Chintapalle,Alluri Sitharama Raju,Andhra Pradesh
Chintur|Alluri Sitharama Raju|Andhra Pradesh,Chintur,Alluri Sitharama Raju,Andhra Pradesh
Devipatnam|Alluri Sitharama Raju|Andhra Pradesh,Devipatnam,Alluri Sitharama Raju,Andhra Pradesh
Dumbriguda|Alluri Sitharama Raju|Andhra Pradesh,Dumbriguda,Alluri Sitharama Raju,Andhra Pradesh
G Madugula|Alluri Sitharama Raju|Andhra Pradesh,G Madugula,Alluri Sitharama Raju,Andhra Pradesh
Gangavaram|Alluri Sitharama Raju|Andhra Pradesh,Gangavaram,Alluri Sitharama Raju,Andhra Pradesh
Gudem Kotha Veedhi|Alluri Sitharama Raju|Andhra Pradesh,Gudem Kotha Veedhi,Alluri Sitharama Raju,Andhra Pradesh
Hukumpeta|Alluri Sitharama Raju|Andhra Pradesh,Hukumpeta,Alluri Sitharama Raju,Andhra Pradesh
Koyyuru|Alluri Sitharama Raju|Andhra Pradesh,Koyyuru,Alluri Sitharama Raju,Andhra Pradesh
Kunavaram|Alluri Sitharama Raju|Andhra Pradesh,Kunavaram,Alluri Sitharama Raju,Andhra Pradesh
Maredumilli|Alluri Sitharama Raju|Andhra Pradesh,Maredumilli,Alluri Sitharama Raju,Andhra Pradesh
Munchingi Puttu|Alluri Sitharama Raju|Andhra Pradesh,Munchingi Puttu,Alluri Sitharama Raju,Andhra Pradesh
Paderu|Alluri Sitharama Raju|Andhra Pradesh,Paderu,Alluri Sitharama Raju,Andhra Pradesh
Peda Bayalu|Alluri Sitharama Raju|Andhra Pradesh,Peda Bayalu,Alluri Sitharama Raju,Andhra Pradesh
Rajavommangi|Alluri Sitharama Raju|Andhra Pradesh,Rajavommangi,Alluri Sitharama Raju,Andhra Pradesh
Rampachodavaram|Alluri Sitharama Raju|Andhra Pradesh,Rampachodavaram,Alluri Sitharama Raju,Andhra Pradesh
Vararamachandrapuram|Alluri Sitharama Raju|Andhra Pradesh,Vararamachandrapuram,Alluri Sitharama Raju,Andhra Pradesh
