,pincode,state,latitude,longitude
0,400001,Maharashtra,18.9472,72.8757
1,400002,Maharashtra,18.9483,72.8265
2,400003,Maharashtra,18.9547,72.8334
3,400004,Maharashtra,18.9564,72.8221
4,400005,Maharashtra,18.9072,72.8152
5,400006,Maharashtra,18.9553,72.801
6,400007,Maharashtra,18.9614,72.8142
7,400008,Maharashtra,18.9675,72.8279
8,400009,Maharashtra,18.9572,72.8403
9,400010,Maharashtra,18.9713,72.8461
10,400011,Maharashtra,18.9807,72.8279
11,400012,Maharashtra,18.9965,72.8375
12,400013,Maharashtra,18.9964,72.8263
13,400014,Maharashtra,19.0146,72.8459
14,400015,Maharashtra,18.9942,72.8534
15,400016,Maharashtra,19.036,72.8422
16,400017,Maharashtra,19.046,72.8545
17,400018,Maharashtra,18.9933,72.8179
18,400019,Maharashtra,19.0273,72.8524
19,400020,Maharashtra,18.9364,72.827
20,400021,Maharashtra,18.9258,72.8238
21,400022,Maharashtra,19.0432,72.8685
22,400024,Maharashtra,19.0602,72.882
23,400025,Maharashtra,19.0125,72.8277
24,400026,Maharashtra,18.9705,72.8075
25,400027,Maharashtra,18.9762,72.8362
26,400028,Maharashtra,19.0195,72.8369
27,400029,Maharashtra,19.0806,72.8652
28,400030,Maharashtra,19.0133,72.8178
29,400031,Maharashtra,19.0141,72.8541
30,400032,Maharashtra,18.929,72.8288
31,400033,Maharashtra,18.9869,72.8448
32,400034,Maharashtra,18.9743,72.8156
33,400035,Maharashtra,18.944,72.7956
34,400037,Maharashtra,19.0199,72.8703
35,400042,Maharashtra,19.1323,72.9543
36,400043,Maharashtra,19.0631,72.9356
37,400049,Maharashtra,19.0982,72.8309
38,400050,Maharashtra,19.055,72.8299
39,400051,Maharashtra,19.0622,72.8532
40,400052,Maharashtra,19.0707,72.8316
41,400053,Maharashtra,19.1434,72.8251
42,400054,Maharashtra,19.0811,72.8365
43,400055,Maharashtra,19.0806,72.8492
44,400056,Maharashtra,19.1018,72.8415
45,400057,Maharashtra,19.1003,72.8488
46,400058,Maharashtra,19.1218,72.8401
47,400059,Maharashtra,19.1164,72.8775
48,400060,Maharashtra,19.1345,72.8577
49,400061,Maharashtra,19.1488,72.8015
50,400063,Maharashtra,19.1585,72.8536
51,400064,Maharashtra,19.1853,72.8423
52,400065,Maharashtra,19.154,72.8746
